field_ID,sample_ID,country,country_full,site,site_full,farmer_no,type,species,variety,material,material_type,date,UTM_easting,UTM_northing,coordinate_system,altitude
CI_tb_15,CI_tb_15_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,15,add,D. rotundata,Krenglè,soil,soil_add,20140711,202295,891321,UTM,312
CI_tb_16,CI_tb_16_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,16,cal,D. alata,Bètè bètè,leaf,leaf,20140711,202855,891184,UTM,302
CI_tb_16,CI_tb_16_vine,ci,Côte d'Ivoire,tb,Tiéningboué,16,cal,D. alata,Bètè bètè,vine,vine,20140711,202855,891184,UTM,302
CI_tb_16,CI_tb_16_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,16,cal,D. alata,Bètè bètè,tuber,tuber,20140711,202855,891184,UTM,302
CI_tb_16,CI_tb_16_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,16,cal,D. alata,Bètè bètè,soil,soil_cal,20140711,202855,891184,UTM,302
CI_tb_16,CI_tb_16_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,16,add,D. alata,Bètè bètè,soil,soil_add,20140711,202855,891184,UTM,302
CI_tb_17,CI_tb_17_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,17,cal,D. alata,Bètè bètè,leaf,leaf,20140711,202903,891511,UTM,313
CI_tb_17,CI_tb_17_vine,ci,Côte d'Ivoire,tb,Tiéningboué,17,cal,D. alata,Bètè bètè,vine,vine,20140711,202903,891511,UTM,313
CI_tb_17,CI_tb_17_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,17,cal,D. alata,Bètè bètè,tuber,tuber,20140711,202903,891511,UTM,313
CI_tb_17,CI_tb_17_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,17,cal,D. alata,Bètè bètè,soil,soil_cal,20140711,202903,891511,UTM,313
CI_tb_17,CI_tb_17_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,17,add,D. alata,Bètè bètè,soil,soil_add,20140711,202903,891511,UTM,313
CI_tb_18,CI_tb_18_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,18,cal,D. alata,Bètè bètè,leaf,leaf,20140713,207972,898455,UTM,321
CI_tb_18,CI_tb_18_vine,ci,Côte d'Ivoire,tb,Tiéningboué,18,cal,D. alata,Bètè bètè,vine,vine,20140713,207972,898455,UTM,321
CI_tb_18,CI_tb_18_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,18,cal,D. alata,Bètè bètè,tuber,tuber,20140713,207972,898455,UTM,321
CI_tb_18,CI_tb_18_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,18,cal,D. alata,Bètè bètè,soil,soil_cal,20140713,207972,898455,UTM,321
CI_tb_18,CI_tb_18_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,18,add,D. alata,Bètè bètè,soil,soil_add,20140713,207972,898455,UTM,321
CI_tb_19,CI_tb_19_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,19,cal,D. alata,Bètè bètè,leaf,leaf,20140713,204168,894509,UTM,348
CI_tb_19,CI_tb_19_vine,ci,Côte d'Ivoire,tb,Tiéningboué,19,cal,D. alata,Bètè bètè,vine,vine,20140713,204168,894509,UTM,348
CI_tb_19,CI_tb_19_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,19,cal,D. alata,Bètè bètè,tuber,tuber,20140713,204168,894509,UTM,348
CI_tb_19,CI_tb_19_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,19,cal,D. alata,Bètè bètè,soil,soil_cal,20140713,204168,894509,UTM,348
CI_tb_19,CI_tb_19_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,19,add,D. alata,Bètè bètè,soil,soil_add,20140713,204168,894509,UTM,348
CI_tb_20,CI_tb_20_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,20,cal,D. alata,Bètè bètè,leaf,leaf,20140713,203349,896536,UTM,351
CI_tb_20,CI_tb_20_vine,ci,Côte d'Ivoire,tb,Tiéningboué,20,cal,D. alata,Bètè bètè,vine,vine,20140713,203349,896536,UTM,351
CI_tb_20,CI_tb_20_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,20,cal,D. alata,Bètè bètè,tuber,tuber,20140713,203349,896536,UTM,351
CI_tb_20,CI_tb_20_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,20,cal,D. alata,Bètè bètè,soil,soil_cal,20140713,203349,896536,UTM,351
CI_tb_20,CI_tb_20_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,20,add,D. alata,Bètè bètè,soil,soil_add,20140713,203349,896536,UTM,351
CI_sb_01,CI_sb_01_leaf,ci,Côte d'Ivoire,sb,Liliyo,1,cal,D. rotundata,Krenglè,leaf,leaf,20150718,790341,650996,UTM,123
CI_sb_01,CI_sb_01_vine,ci,Côte d'Ivoire,sb,Liliyo,1,cal,D. rotundata,Krenglè,vine,vine ,20150718,790341,650996,UTM,123
CI_sb_01,CI_sb_01_tuber,ci,Côte d'Ivoire,sb,Liliyo,1,cal,D. rotundata,Krenglè,tuber,tuber,20150718,790341,650996,UTM,123
CI_sb_01,CI_sb_01_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,1,cal,D. rotundata,Krenglè,soil,soil_cal,20150718,790341,650996,UTM,123
CI_sb_01,CI_sb_01_soil_add,ci,Côte d'Ivoire,sb,Liliyo,1,add,D. rotundata,Krenglè,soil,soil_add,20150718,790341,650996,UTM,123
CI_sb_02,CI_sb_02_leaf,ci,Côte d'Ivoire,sb,Liliyo,2,cal,D. alata,Bètè bètè,leaf,leaf,20150719,792402,652470,UTM,174
CI_sb_02,CI_sb_02_vine,ci,Côte d'Ivoire,sb,Liliyo,2,cal,D. alata,Bètè bètè,vine,vine ,20150719,792402,652470,UTM,174
CI_sb_02,CI_sb_02_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,2,cal,D. alata,Bètè bètè,soil,soil_cal,20150719,792402,652470,UTM,174
CI_sb_02,CI_sb_02_soil_add,ci,Côte d'Ivoire,sb,Liliyo,2,add,D. alata,Bètè bètè,soil,soil_add,20150719,792402,652470,UTM,174
CI_sb_03a,CI_sb_03a_leaf,ci,Côte d'Ivoire,sb,Liliyo,3,cal,D. rotundata,Bondoukou,leaf,leaf,20150720,792092,648206,UTM,183
CI_sb_03a,CI_sb_03a_vine,ci,Côte d'Ivoire,sb,Liliyo,3,cal,D. rotundata,Bondoukou,vine,vine ,20150720,792092,648206,UTM,183
CI_sb_03b,CI_sb_03b_leaf,ci,Côte d'Ivoire,sb,Liliyo,3,cal,D. alata,Bètè bètè,leaf,leaf,20150720,792092,648206,UTM,183
CI_sb_03b,CI_sb_03b_vine,ci,Côte d'Ivoire,sb,Liliyo,3,cal,D. alata,Bètè bètè,vine,vine ,20150720,792092,648206,UTM,183
CI_sb_03b,CI_sb_03b_tuber,ci,Côte d'Ivoire,sb,Liliyo,3,cal,D. alata,Bètè bètè,tuber,tuber,20150720,792092,648206,UTM,183
CI_sb_03,CI_sb_03_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,3,cal,D. rotundata,Bondoukou,soil,soil_cal,20150720,792092,648206,UTM,183
CI_sb_03,CI_sb_03_soil_add,ci,Côte d'Ivoire,sb,Liliyo,3,add,D. rotundata,Bondoukou,soil,soil_add,20150720,792092,648206,UTM,183
CI_sb_04,CI_sb_04_leaf,ci,Côte d'Ivoire,sb,Liliyo,4,cal,D. alata,Florido,leaf,leaf,20150720,792324,647186,UTM,196
CI_sb_04,CI_sb_04_vine,ci,Côte d'Ivoire,sb,Liliyo,4,cal,D. alata,Florido,vine,vine ,20150720,792324,647186,UTM,196
CI_sb_04,CI_sb_04_tuber,ci,Côte d'Ivoire,sb,Liliyo,4,cal,D. alata,Florido,tuber,tuber,20150720,792324,647186,UTM,196
CI_sb_04,CI_sb_04_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,4,cal,D. alata,Florido,soil,soil_cal,20150720,792324,647186,UTM,196
CI_sb_04,CI_sb_04_soil_add,ci,Côte d'Ivoire,sb,Liliyo,4,add,D. alata,Florido,soil,soil_add,20150720,792324,647186,UTM,196
CI_sb_05,CI_sb_05_leaf,ci,Côte d'Ivoire,sb,Liliyo,5,cal,D. alata,Bètè bètè,leaf,leaf,20150720,793286,647208,UTM,197
CI_sb_05,CI_sb_05_vine,ci,Côte d'Ivoire,sb,Liliyo,5,cal,D. alata,Bètè bètè,vine,vine ,20150720,793286,647208,UTM,197
CI_sb_05,CI_sb_05_tuber,ci,Côte d'Ivoire,sb,Liliyo,5,cal,D. alata,Bètè bètè,tuber,tuber,20150720,793286,647208,UTM,197
CI_sb_05,CI_sb_05_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,5,cal,D. alata,Bètè bètè,soil,soil_cal,20150720,793286,647208,UTM,197
CI_sb_05,CI_sb_05_soil_add,ci,Côte d'Ivoire,sb,Liliyo,5,add,D. alata,Bètè bètè,soil,soil_add,20150720,793286,647208,UTM,197
CI_sb_06,CI_sb_06_leaf,ci,Côte d'Ivoire,sb,Liliyo,6,cal,D. alata,Bètè bètè,leaf,leaf,20150720,793437,647963,UTM,200
CI_sb_06,CI_sb_06_vine,ci,Côte d'Ivoire,sb,Liliyo,6,cal,D. alata,Bètè bètè,vine,vine ,20150720,793437,647963,UTM,200
CI_sb_06,CI_sb_06_tuber,ci,Côte d'Ivoire,sb,Liliyo,6,cal,D. alata,Bètè bètè,tuber,tuber,20150720,793437,647963,UTM,200
CI_sb_06,CI_sb_06_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,6,cal,D. alata,Bètè bètè,soil,soil_cal,20150720,793437,647963,UTM,200
CI_sb_06,CI_sb_06_soil_add,ci,Côte d'Ivoire,sb,Liliyo,6,add,D. alata,Bètè bètè,soil,soil_add,20150720,793437,647963,UTM,200
